avg_ps,min_ps,max_ps,burst_ps,pause_ps
48.0,-88.0,168.0,-448.0,424.0
24.0,-96.0,144.0,-480.0,424.0
32.0,-72.0,144.0,-496.0,424.0
32.0,-72.0,120.0,-496.0,424.0
56.0,-40.0,176.0,-504.0,424.0
48.0,-64.0,152.0,-432.0,432.0
48.0,-64.0,168.0,-472.0,432.0
48.0,-64.0,192.0,-496.0,424.0
56.0,-40.0,192.0,-480.0,432.0
72.0,-48.0,192.0,-496.0,432.0
48.0,-120.0,168.0,-424.0,432.0
8.0,-112.0,120.0,-528.0,424.0
24.0,-88.0,128.0,-520.0,424.0
24.0,-120.0,144.0,-496.0,408.0
48.0,-120.0,192.0,-432.0,424.0
8.0,-112.0,128.0,-472.0,424.0
24.0,-88.0,120.0,-504.0,424.0
8.0,-136.0,176.0,-448.0,424.0
48.0,-96.0,144.0,-480.0,432.0
48.0,-72.0,168.0,-504.0,424.0
48.0,-48.0,144.0,-496.0,432.0
48.0,-64.0,152.0,-496.0,432.0
56.0,-48.0,168.0,-504.0,424.0
48.0,-72.0,152.0,-472.0,424.0
72.0,-24.0,176.0,-448.0,432.0
72.0,-40.0,200.0,-472.0,432.0
32.0,-88.0,168.0,-480.0,424.0
56.0,-40.0,176.0,-496.0,432.0
48.0,-48.0,152.0,-528.0,432.0
48.0,-48.0,176.0,-504.0,424.0
32.0,-144.0,128.0,-480.0,408.0
24.0,-144.0,152.0,-456.0,424.0
48.0,-72.0,144.0,-480.0,432.0
48.0,-88.0,168.0,-480.0,432.0
48.0,-64.0,176.0,-520.0,432.0
56.0,-64.0,192.0,-472.0,432.0
72.0,-48.0,192.0,-504.0,432.0
104.0,0.0,256.0,-456.0,424.0
72.0,-24.0,192.0,-456.0,432.0
72.0,-48.0,200.0,-480.0,432.0
56.0,-48.0,176.0,-496.0,424.0
32.0,-88.0,176.0,-496.0,424.0
48.0,-72.0,144.0,-480.0,432.0
48.0,-72.0,144.0,-472.0,424.0
24.0,-88.0,120.0,-456.0,424.0
72.0,-24.0,176.0,-496.0,432.0
56.0,-24.0,192.0,-504.0,432.0
