avg_ps,min_ps,max_ps,burst_ps,pause_ps
80.0,-208.0,304.0,-544.0,568.0
32.0,-312.0,232.0,-496.0,520.0
24.0,-216.0,280.0,-520.0,504.0
32.0,-360.0,264.0,-480.0,520.0
24.0,-240.0,256.0,-520.0,520.0
48.0,-192.0,264.0,-520.0,528.0
-16.0,-264.0,192.0,-504.0,504.0
8.0,-256.0,232.0,-480.0,520.0
48.0,-184.0,304.0,-496.0,504.0
0.0,-264.0,192.0,-480.0,504.0
-24.0,-288.0,176.0,-520.0,504.0
-16.0,-312.0,256.0,-480.0,504.0
-40.0,-384.0,168.0,-504.0,496.0
-88.0,-384.0,144.0,-496.0,504.0
-96.0,-376.0,144.0,-504.0,408.0
-48.0,-480.0,192.0,-528.0,408.0
48.0,-328.0,328.0,-504.0,576.0
-64.0,-384.0,176.0,-552.0,520.0
0.0,-352.0,200.0,-544.0,544.0
32.0,-336.0,232.0,-456.0,520.0
32.0,-256.0,232.0,-496.0,544.0
32.0,-312.0,256.0,-496.0,528.0
0.0,-384.0,200.0,-528.0,504.0
24.0,-336.0,264.0,-528.0,544.0
48.0,-184.0,256.0,-528.0,528.0
72.0,-232.0,288.0,-528.0,544.0
104.0,-144.0,264.0,-528.0,544.0
48.0,-408.0,200.0,-544.0,544.0
56.0,-160.0,280.0,-504.0,528.0
24.0,-256.0,216.0,-528.0,520.0
80.0,-160.0,280.0,-496.0,552.0
104.0,-184.0,304.0,-552.0,552.0
104.0,-184.0,280.0,-528.0,544.0
120.0,-136.0,288.0,-472.0,544.0
72.0,-256.0,312.0,-528.0,568.0
56.0,-304.0,256.0,-504.0,528.0
144.0,-120.0,328.0,-544.0,552.0
144.0,-112.0,328.0,-544.0,544.0
152.0,-216.0,328.0,-552.0,544.0
152.0,-256.0,304.0,-480.0,552.0
120.0,-256.0,280.0,-528.0,568.0
80.0,-288.0,360.0,-528.0,568.0
120.0,-144.0,360.0,-528.0,544.0
144.0,-72.0,336.0,-528.0,544.0
120.0,-184.0,352.0,-480.0,528.0
80.0,-328.0,288.0,-520.0,528.0
32.0,-304.0,240.0,-528.0,520.0
0.0,-240.0,232.0,-528.0,504.0
80.0,-168.0,304.0,-480.0,528.0
56.0,-216.0,256.0,-528.0,520.0
48.0,-400.0,256.0,-520.0,384.0
128.0,-136.0,328.0,-448.0,544.0
48.0,-336.0,264.0,-480.0,544.0
128.0,-112.0,312.0,-504.0,544.0
144.0,-144.0,328.0,-504.0,520.0
216.0,24.0,384.0,-544.0,568.0
192.0,-136.0,384.0,-544.0,552.0
120.0,-232.0,328.0,-528.0,520.0
128.0,-160.0,328.0,-528.0,520.0
168.0,-136.0,360.0,-544.0,528.0
80.0,-256.0,352.0,-480.0,544.0
104.0,-232.0,336.0,-432.0,520.0
96.0,-208.0,328.0,-504.0,528.0
72.0,-232.0,360.0,-528.0,544.0
24.0,-360.0,288.0,-496.0,520.0
-16.0,-352.0,232.0,-520.0,408.0
-40.0,-408.0,200.0,-456.0,384.0
8.0,-264.0,200.0,-520.0,424.0
48.0,-352.0,240.0,-496.0,504.0
56.0,-192.0,304.0,-424.0,408.0
48.0,-216.0,312.0,-480.0,504.0
0.0,-280.0,240.0,-520.0,496.0
48.0,-312.0,280.0,-520.0,504.0
96.0,-168.0,312.0,-520.0,520.0
48.0,-192.0,304.0,-528.0,520.0
0.0,-264.0,304.0,-504.0,408.0
-40.0,-312.0,176.0,-496.0,408.0
-24.0,-288.0,240.0,-480.0,504.0
-64.0,-360.0,232.0,-528.0,400.0
-40.0,-352.0,280.0,-520.0,520.0
-16.0,-328.0,192.0,-520.0,504.0
24.0,-304.0,232.0,-520.0,504.0
0.0,-376.0,240.0,-528.0,400.0
-72.0,-432.0,192.0,-504.0,408.0
8.0,-312.0,232.0,-544.0,504.0
72.0,-216.0,328.0,-504.0,520.0
56.0,-256.0,240.0,-528.0,520.0
8.0,-328.0,288.0,-432.0,496.0
24.0,-312.0,232.0,-504.0,504.0
24.0,-288.0,232.0,-504.0,528.0
24.0,-240.0,232.0,-504.0,504.0
32.0,-240.0,264.0,-496.0,504.0
56.0,-216.0,288.0,-520.0,544.0
104.0,-208.0,360.0,-520.0,544.0
72.0,-328.0,312.0,-520.0,528.0
48.0,-256.0,240.0,-480.0,504.0
-16.0,-376.0,200.0,-528.0,504.0
-40.0,-360.0,152.0,-520.0,504.0
-64.0,-448.0,168.0,-520.0,496.0
0.0,-264.0,240.0,-456.0,496.0
48.0,-240.0,256.0,-480.0,528.0
8.0,-208.0,232.0,-424.0,504.0
48.0,-304.0,264.0,-504.0,528.0
0.0,-232.0,240.0,-496.0,504.0
32.0,-240.0,232.0,-496.0,520.0
8.0,-256.0,240.0,-504.0,520.0
0.0,-232.0,264.0,-504.0,504.0
-24.0,-328.0,232.0,-504.0,504.0
-64.0,-328.0,152.0,-504.0,496.0
24.0,-360.0,240.0,-520.0,520.0
-16.0,-288.0,200.0,-520.0,520.0
0.0,-328.0,192.0,-496.0,504.0
-40.0,-328.0,232.0,-496.0,520.0
