avg_ps,min_ps,max_ps,burst_ps,pause_ps
48.0,-280.0,288.0,-424.0,520.0
48.0,-240.0,304.0,-496.0,520.0
24.0,-240.0,288.0,-504.0,504.0
72.0,-328.0,384.0,-520.0,520.0
96.0,-264.0,352.0,-496.0,544.0
96.0,-216.0,376.0,-520.0,528.0
48.0,-304.0,304.0,-448.0,520.0
72.0,-280.0,328.0,-504.0,520.0
56.0,-280.0,328.0,-496.0,504.0
56.0,-256.0,336.0,-504.0,504.0
32.0,-240.0,288.0,-544.0,496.0
48.0,-312.0,304.0,-472.0,528.0
80.0,-136.0,336.0,-496.0,528.0
104.0,-192.0,360.0,-520.0,544.0
144.0,-208.0,400.0,-504.0,528.0
80.0,-304.0,352.0,-520.0,520.0
72.0,-288.0,336.0,-504.0,496.0
56.0,-288.0,360.0,-528.0,520.0
120.0,-168.0,360.0,-520.0,520.0
96.0,-208.0,328.0,-472.0,520.0
144.0,-120.0,360.0,-528.0,528.0
72.0,-256.0,360.0,-480.0,520.0
120.0,-280.0,376.0,-504.0,528.0
72.0,-232.0,376.0,-520.0,504.0
56.0,-184.0,312.0,-472.0,504.0
48.0,-280.0,408.0,-448.0,504.0
24.0,-280.0,264.0,-520.0,496.0
24.0,-264.0,264.0,-472.0,496.0
32.0,-328.0,280.0,-520.0,400.0
56.0,-256.0,312.0,-520.0,504.0
56.0,-288.0,336.0,-520.0,504.0
24.0,-280.0,288.0,-480.0,408.0
0.0,-280.0,200.0,-456.0,424.0
24.0,-288.0,328.0,-528.0,424.0
80.0,-304.0,376.0,-456.0,520.0
48.0,-240.0,288.0,-456.0,504.0
32.0,-288.0,288.0,-496.0,504.0
48.0,-304.0,304.0,-472.0,424.0
-24.0,-376.0,280.0,-496.0,400.0
80.0,-280.0,376.0,-480.0,528.0
72.0,-232.0,352.0,-456.0,520.0
96.0,-232.0,352.0,-528.0,504.0
104.0,-280.0,384.0,-528.0,504.0
152.0,-208.0,400.0,-448.0,528.0
48.0,-256.0,280.0,-504.0,504.0
128.0,-216.0,400.0,-504.0,528.0
96.0,-208.0,352.0,-528.0,520.0
128.0,-184.0,376.0,-520.0,520.0
80.0,-216.0,400.0,-528.0,504.0
48.0,-312.0,288.0,-496.0,400.0
56.0,-360.0,376.0,-544.0,384.0
128.0,-192.0,384.0,-520.0,520.0
128.0,-184.0,376.0,-528.0,504.0
48.0,-280.0,288.0,-504.0,408.0
-64.0,-352.0,256.0,-480.0,400.0
48.0,-264.0,312.0,-496.0,520.0
96.0,-240.0,328.0,-504.0,504.0
128.0,-184.0,384.0,-448.0,504.0
176.0,-208.0,432.0,-528.0,528.0
128.0,-184.0,400.0,-456.0,504.0
144.0,-120.0,400.0,-504.0,496.0
128.0,-144.0,400.0,-504.0,504.0
48.0,-232.0,336.0,-504.0,408.0
-16.0,-288.0,304.0,-528.0,408.0
0.0,-336.0,264.0,-480.0,400.0
48.0,-256.0,312.0,-520.0,408.0
8.0,-256.0,312.0,-520.0,376.0
48.0,-256.0,336.0,-480.0,408.0
80.0,-240.0,328.0,-520.0,400.0
48.0,-256.0,288.0,-528.0,408.0
24.0,-336.0,280.0,-472.0,400.0
32.0,-256.0,304.0,-496.0,384.0
-16.0,-312.0,304.0,-472.0,400.0
56.0,-232.0,304.0,-520.0,408.0
32.0,-240.0,328.0,-480.0,400.0
32.0,-264.0,336.0,-456.0,400.0
48.0,-312.0,288.0,-472.0,408.0
32.0,-280.0,240.0,-504.0,384.0
96.0,-240.0,336.0,-472.0,504.0
80.0,-240.0,384.0,-496.0,400.0
56.0,-304.0,400.0,-544.0,400.0
56.0,-232.0,312.0,-504.0,408.0
8.0,-240.0,264.0,-520.0,408.0
32.0,-264.0,280.0,-504.0,408.0
72.0,-216.0,336.0,-504.0,408.0
72.0,-280.0,424.0,-480.0,408.0
56.0,-264.0,352.0,-520.0,408.0
96.0,-256.0,376.0,-504.0,424.0
24.0,-312.0,304.0,-520.0,400.0
