avg_ps,min_ps,max_ps,burst_ps,pause_ps
32.0,-216.0,328.0,-496.0,384.0
-40.0,-264.0,240.0,-528.0,376.0
8.0,-168.0,264.0,-480.0,408.0
56.0,-168.0,376.0,-520.0,384.0
56.0,-120.0,304.0,-496.0,408.0
72.0,-136.0,288.0,-504.0,408.0
56.0,-192.0,304.0,-504.0,400.0
96.0,-136.0,336.0,-456.0,408.0
32.0,-184.0,232.0,-472.0,400.0
32.0,-184.0,232.0,-472.0,400.0
0.0,-184.0,192.0,-496.0,400.0
24.0,-208.0,328.0,-520.0,408.0
-48.0,-256.0,144.0,-528.0,384.0
32.0,-192.0,240.0,-480.0,408.0
32.0,-192.0,256.0,-496.0,408.0
48.0,-160.0,232.0,-528.0,400.0
24.0,-216.0,264.0,-480.0,384.0
104.0,-136.0,352.0,-504.0,424.0
32.0,-192.0,256.0,-528.0,408.0
72.0,-112.0,328.0,-520.0,408.0
72.0,-136.0,352.0,-456.0,424.0
80.0,-144.0,360.0,-480.0,408.0
152.0,-64.0,384.0,-504.0,496.0
104.0,-136.0,304.0,-520.0,424.0
48.0,-160.0,304.0,-504.0,384.0
0.0,-232.0,232.0,-480.0,384.0
-40.0,-264.0,152.0,-496.0,384.0
-16.0,-208.0,240.0,-496.0,400.0
8.0,-216.0,232.0,-456.0,400.0
8.0,-208.0,232.0,-544.0,400.0
-24.0,-208.0,232.0,-520.0,400.0
56.0,-208.0,312.0,-496.0,400.0
24.0,-208.0,288.0,-472.0,400.0
-16.0,-192.0,192.0,-504.0,400.0
-16.0,-208.0,200.0,-520.0,400.0
56.0,-184.0,288.0,-520.0,408.0
-24.0,-232.0,256.0,-528.0,400.0
56.0,-288.0,336.0,-496.0,400.0
72.0,-144.0,288.0,-472.0,408.0
72.0,-184.0,336.0,-480.0,408.0
48.0,-184.0,304.0,-504.0,408.0
48.0,-184.0,256.0,-496.0,408.0
48.0,-208.0,288.0,-504.0,400.0
32.0,-184.0,280.0,-456.0,408.0
48.0,-168.0,288.0,-496.0,408.0
48.0,-136.0,304.0,-448.0,408.0
24.0,-192.0,240.0,-552.0,400.0
0.0,-208.0,280.0,-496.0,400.0
48.0,-136.0,304.0,-528.0,408.0
24.0,-232.0,264.0,-544.0,408.0
96.0,-120.0,328.0,-496.0,424.0
48.0,-184.0,280.0,-504.0,424.0
48.0,-160.0,352.0,-480.0,408.0
