avg_ps,min_ps,max_ps,burst_ps,pause_ps
144.0,-96.0,408.0,-504.0,504.0
120.0,-144.0,400.0,-504.0,424.0
56.0,-160.0,288.0,-504.0,424.0
72.0,-160.0,312.0,-528.0,408.0
96.0,-136.0,384.0,-496.0,400.0
48.0,-184.0,264.0,-520.0,360.0
24.0,-208.0,264.0,-520.0,400.0
-24.0,-256.0,216.0,-552.0,360.0
-16.0,-288.0,256.0,-504.0,376.0
-16.0,-208.0,312.0,-496.0,352.0
0.0,-192.0,240.0,-528.0,408.0
48.0,-208.0,264.0,-496.0,400.0
48.0,-144.0,288.0,-504.0,400.0
0.0,-192.0,192.0,-520.0,408.0
0.0,-216.0,328.0,-448.0,384.0
104.0,-192.0,360.0,-520.0,408.0
96.0,-136.0,336.0,-456.0,424.0
-24.0,-240.0,256.0,-528.0,400.0
168.0,-64.0,408.0,-472.0,424.0
56.0,-168.0,312.0,-480.0,424.0
32.0,-184.0,336.0,-496.0,408.0
0.0,-184.0,192.0,-504.0,400.0
-88.0,-280.0,104.0,-480.0,352.0
-24.0,-288.0,232.0,-528.0,360.0
56.0,-264.0,352.0,-472.0,384.0
72.0,-144.0,328.0,-480.0,424.0
8.0,-240.0,360.0,-472.0,376.0
-40.0,-264.0,200.0,-520.0,400.0
24.0,-192.0,280.0,-496.0,408.0
24.0,-192.0,280.0,-496.0,408.0
48.0,-160.0,280.0,-480.0,408.0
72.0,-160.0,304.0,-504.0,400.0
80.0,-144.0,336.0,-472.0,408.0
24.0,-232.0,288.0,-520.0,408.0
32.0,-240.0,352.0,-496.0,408.0
48.0,-136.0,264.0,-520.0,408.0
72.0,-160.0,304.0,-504.0,408.0
0.0,-216.0,232.0,-520.0,408.0
-16.0,-232.0,240.0,-520.0,408.0
8.0,-168.0,216.0,-480.0,408.0
24.0,-208.0,312.0,-504.0,408.0
-72.0,-304.0,240.0,-432.0,384.0
-88.0,-336.0,152.0,-496.0,384.0
-96.0,-304.0,192.0,-496.0,384.0
-96.0,-304.0,192.0,-496.0,384.0
-96.0,-304.0,168.0,-520.0,376.0
-136.0,-312.0,96.0,-528.0,400.0
-64.0,-288.0,216.0,-504.0,384.0
-24.0,-304.0,288.0,-520.0,400.0
-24.0,-256.0,216.0,-504.0,424.0
-48.0,-328.0,176.0,-456.0,400.0
-40.0,-232.0,176.0,-472.0,424.0
8.0,-208.0,280.0,-504.0,496.0
48.0,-216.0,304.0,-496.0,408.0
72.0,-184.0,360.0,-504.0,520.0
32.0,-232.0,288.0,-456.0,496.0
48.0,-216.0,328.0,-456.0,496.0
8.0,-208.0,256.0,-456.0,424.0
48.0,-160.0,288.0,-472.0,496.0
24.0,-192.0,216.0,-456.0,496.0
-16.0,-240.0,216.0,-472.0,424.0
144.0,-96.0,384.0,-504.0,504.0
128.0,-136.0,424.0,-480.0,504.0
120.0,-96.0,352.0,-504.0,504.0
80.0,-160.0,352.0,-472.0,496.0
24.0,-216.0,256.0,-432.0,424.0
48.0,-240.0,304.0,-496.0,496.0
48.0,-216.0,280.0,-456.0,496.0
56.0,-160.0,288.0,-504.0,408.0
-40.0,-288.0,200.0,-520.0,408.0
48.0,-192.0,360.0,-480.0,504.0
-48.0,-304.0,192.0,-432.0,408.0
32.0,-288.0,264.0,-480.0,384.0
48.0,-240.0,336.0,-424.0,528.0
96.0,-120.0,312.0,-496.0,496.0
96.0,-168.0,352.0,-520.0,520.0
96.0,-168.0,352.0,-520.0,520.0
80.0,-160.0,328.0,-520.0,504.0
72.0,-184.0,328.0,-504.0,520.0
72.0,-184.0,304.0,-472.0,424.0
48.0,-208.0,216.0,-480.0,496.0
120.0,-88.0,400.0,-496.0,504.0
48.0,-240.0,312.0,-520.0,424.0
104.0,-112.0,352.0,-520.0,504.0
120.0,-112.0,352.0,-480.0,504.0
152.0,-136.0,360.0,-504.0,504.0
152.0,-136.0,360.0,-504.0,504.0
120.0,-120.0,408.0,-504.0,520.0
144.0,-120.0,360.0,-504.0,504.0
72.0,-184.0,312.0,-520.0,424.0
48.0,-208.0,304.0,-424.0,408.0
48.0,-168.0,232.0,-480.0,408.0
96.0,-168.0,336.0,-520.0,424.0
8.0,-288.0,264.0,-496.0,408.0
-64.0,-352.0,200.0,-544.0,400.0
24.0,-216.0,264.0,-496.0,408.0
80.0,-160.0,304.0,-472.0,424.0
80.0,-160.0,304.0,-472.0,424.0
-16.0,-280.0,176.0,-520.0,400.0
0.0,-192.0,200.0,-504.0,408.0
24.0,-264.0,232.0,-496.0,424.0
56.0,-216.0,328.0,-520.0,424.0
48.0,-256.0,304.0,-456.0,408.0
72.0,-216.0,328.0,-504.0,504.0
72.0,-216.0,328.0,-504.0,504.0
120.0,-120.0,400.0,-456.0,408.0
48.0,-168.0,360.0,-480.0,496.0
80.0,-208.0,312.0,-456.0,424.0
72.0,-256.0,352.0,-496.0,496.0
48.0,-144.0,304.0,-504.0,424.0
-24.0,-280.0,192.0,-480.0,408.0
-40.0,-312.0,176.0,-520.0,384.0
